name,location,listed_in(type),online_order,votes,rate,approx_cost(for two people)
Blue Kitchen 151,MP Nagar,Cafe,Yes,118,4.2,450
Tandoor Cafe 152,Indrapuri,Desserts,Yes,197,3.3,500
Blue Treats 153,TT Nagar,Quick Bites,No,76,4.2,300
Urban Treats 154,TT Nagar,Desserts,No,58,4.3,300
Royal Cafe 155,MP Nagar,Quick Bites,Yes,211,3.5,400
Blue Treats 156,Bairagarh,Quick Bites,Yes,95,4.0,200
Green Hub 157,Indrapuri,Casual Dining,No,281,3.7,800
Saffron Cafe 158,Kolar Road,Desserts,Yes,210,3.6,250
Fusion Cafe 159,Arera Colony,Casual Dining,No,117,3.8,750
Spice Dine 160,TT Nagar,Cafe,Yes,241,4.4,600
Spice Corner 161,Bairagarh,Desserts,Yes,66,3.9,250
Fusion House 162,Arera Colony,Cafe,Yes,248,3.5,350
Green Hub 163,Bairagarh,Quick Bites,No,58,3.8,250
Royal Corner 164,TT Nagar,Dining,No,253,3.6,500
Saffron Cafe 165,MP Nagar,Cafe,Yes,75,3.5,450
Saffron Hub 166,Indrapuri,Cafe,Yes,249,3.7,350
Urban Kitchen 167,MP Nagar,Quick Bites,Yes,70,3.8,250
Saffron Treats 168,Bairagarh,Desserts,Yes,109,3.5,400
Tandoor Hub 169,Arera Colony,Dining,Yes,427,3.9,850
Blue Kitchen 170,MP Nagar,Casual Dining,Yes,376,3.4,550
Green Bistro 171,Kolar Road,Buffet,No,80,3.3,1350
Royal Bistro 172,Indrapuri,Desserts,Yes,98,3.9,500
Urban Hub 173,TT Nagar,Buffet,Yes,54,3.8,700
Saffron Hub 174,TT Nagar,Buffet,No,124,3.4,600
Royal Treats 175,TT Nagar,Buffet,No,72,3.8,700
Saffron Hub 176,Bairagarh,Cafe,Yes,218,4.2,300
Royal Cafe 177,Bairagarh,Buffet,No,185,3.9,1400
Tandoor Bistro 178,MP Nagar,Buffet,Yes,115,3.5,1200
Urban Bistro 179,TT Nagar,Cafe,Yes,289,4.1,500
Tandoor Dine 180,MP Nagar,Casual Dining,Yes,310,3.8,650
Spice Dine 181,Bairagarh,Buffet,Yes,168,3.8,650
Blue Cafe 182,TT Nagar,Buffet,No,268,3.4,1200
Saffron Treats 183,Bairagarh,Quick Bites,Yes,66,3.6,400
Green Dine 184,Bairagarh,Casual Dining,No,147,4.4,800
Tandoor Cafe 185,Bairagarh,Dining,No,100,3.5,750
Royal Dine 186,Kolar Road,Desserts,No,139,3.7,300
Spice Dine 187,Arera Colony,Casual Dining,Yes,355,4.0,650
Royal Dine 188,Arera Colony,Buffet,No,86,4.3,900
Saffron Bistro 189,Bairagarh,Casual Dining,No,113,3.6,750
Tandoor Bistro 190,TT Nagar,Casual Dining,No,339,3.4,800
Tandoor Kitchen 191,Kolar Road,Quick Bites,Yes,154,3.5,350
Green Bistro 192,MP Nagar,Cafe,Yes,111,4.0,500
Spice Dine 193,Bairagarh,Casual Dining,Yes,262,3.5,550
Royal Treats 194,Arera Colony,Casual Dining,Yes,191,4.4,1000
Fusion House 195,Bairagarh,Buffet,No,257,4.2,800
Fusion Treats 196,Kolar Road,Buffet,No,178,3.9,750
Royal Corner 197,Arera Colony,Cafe,Yes,250,4.0,250
Urban Corner 198,Arera Colony,Casual Dining,No,209,3.8,900
Saffron Cafe 199,MP Nagar,Cafe,No,238,4.4,400
Saffron Dine 200,MP Nagar,Dining,No,121,3.6,350
Urban Dine 201,MP Nagar,Buffet,Yes,123,4.3,1100
Royal Treats 202,Indrapuri,Casual Dining,No,110,3.3,550
Saffron Cafe 203,Kolar Road,Cafe,Yes,122,3.5,400
Fusion Cafe 204,Arera Colony,Casual Dining,No,325,4.0,350
Green Bistro 205,Kolar Road,Casual Dining,Yes,250,3.6,800
Urban Dine 206,Arera Colony,Cafe,No,319,4.3,450
Spice Hub 207,Indrapuri,Quick Bites,Yes,243,4.2,250
Spice Dine 208,Arera Colony,Casual Dining,Yes,123,4.1,700
Spice Dine 209,Bairagarh,Cafe,Yes,149,4.3,550
Fusion Bistro 210,MP Nagar,Desserts,Yes,238,4.3,150
Green Kitchen 211,MP Nagar,Buffet,No,130,4.3,1150
Fusion Corner 212,Arera Colony,Desserts,No,88,3.6,150
Tandoor Corner 213,Arera Colony,Casual Dining,No,293,4.3,800
Tandoor Bistro 214,Indrapuri,Desserts,No,134,4.3,400
Urban Hub 215,Arera Colony,Buffet,No,260,3.5,900
Urban Cafe 216,Kolar Road,Buffet,No,128,3.8,1350
Royal Treats 217,Kolar Road,Desserts,Yes,226,4.3,350
Saffron Corner 218,TT Nagar,Quick Bites,No,74,3.2,450
Tandoor Bistro 219,Arera Colony,Desserts,Yes,195,4.0,350
Royal Cafe 220,MP Nagar,Dining,No,267,3.6,900
Royal Treats 221,Kolar Road,Dining,No,119,3.8,850
Saffron Dine 222,TT Nagar,Buffet,No,79,3.3,800
Saffron Cafe 223,Kolar Road,Desserts,No,220,3.8,450
Fusion House 224,Arera Colony,Buffet,Yes,68,3.8,1350
Urban Dine 225,TT Nagar,Desserts,Yes,56,3.9,300
Royal Bistro 226,Kolar Road,Buffet,No,81,4.4,750
Fusion Kitchen 227,Kolar Road,Cafe,Yes,248,3.9,500
Urban Cafe 228,Kolar Road,Cafe,Yes,305,4.0,600
Urban Bistro 229,Kolar Road,Desserts,Yes,155,3.8,400
Royal Bistro 230,MP Nagar,Buffet,No,272,3.4,750
Royal Corner 231,MP Nagar,Quick Bites,Yes,160,3.5,400
Urban Corner 232,MP Nagar,Buffet,No,191,3.6,1250
Urban Bistro 233,Bairagarh,Buffet,No,89,3.5,1250
Tandoor Kitchen 234,Arera Colony,Casual Dining,Yes,365,3.6,550
Saffron Kitchen 235,Indrapuri,Quick Bites,No,193,3.8,250
Green Hub 236,Kolar Road,Desserts,Yes,216,3.4,400
Fusion Treats 237,MP Nagar,Desserts,Yes,76,3.6,300
Tandoor Hub 238,MP Nagar,Casual Dining,No,333,3.9,700
Fusion Cafe 239,Kolar Road,Cafe,Yes,132,3.5,350
Saffron House 240,MP Nagar,Desserts,No,187,4.1,250
Fusion Treats 241,Indrapuri,Cafe,No,314,3.4,400
Fusion House 242,MP Nagar,Quick Bites,Yes,69,3.2,350
Fusion Corner 243,Bairagarh,Quick Bites,Yes,100,3.6,250
Tandoor Hub 244,Kolar Road,Casual Dining,Yes,96,3.9,550
Blue Cafe 245,Indrapuri,Buffet,No,245,3.9,1250
Urban Bistro 246,Arera Colony,Casual Dining,Yes,243,3.9,700
Green Hub 247,Bairagarh,Cafe,Yes,79,3.6,350
Fusion Bistro 248,Bairagarh,Desserts,No,75,3.7,450
Royal Hub 249,Bairagarh,Buffet,No,126,4.0,1100
Fusion Corner 250,Indrapuri,Quick Bites,No,233,3.5,200
Blue Kitchen 251,Bairagarh,Desserts,Yes,207,4.2,450
Green Kitchen 252,Bairagarh,Quick Bites,Yes,239,3.3,250
Urban House 253,Arera Colony,Dining,No,294,3.4,500
Fusion Kitchen 254,TT Nagar,Desserts,Yes,93,3.9,500
Saffron Dine 255,MP Nagar,Desserts,Yes,176,3.7,350
Blue Treats 256,MP Nagar,Casual Dining,No,212,3.9,600
Blue House 257,TT Nagar,Buffet,No,131,3.8,1150
Blue Corner 258,Arera Colony,Casual Dining,No,348,3.7,750
Royal Corner 259,Arera Colony,Buffet,No,232,3.4,1050
Blue Treats 260,MP Nagar,Casual Dining,Yes,345,3.6,900
Blue Bistro 261,Arera Colony,Casual Dining,No,370,3.6,400
Green House 262,Arera Colony,Casual Dining,Yes,239,4.1,450
Royal Kitchen 263,Bairagarh,Casual Dining,No,150,3.7,850
Green Corner 264,Kolar Road,Desserts,Yes,55,4.3,200
Green Kitchen 265,MP Nagar,Casual Dining,Yes,160,4.3,400
Fusion Bistro 266,TT Nagar,Desserts,No,114,4.3,150
Urban Dine 267,Kolar Road,Buffet,No,214,3.9,1100
Fusion Corner 268,MP Nagar,Cafe,No,229,3.6,450
Blue Bistro 269,Arera Colony,Casual Dining,No,221,3.9,550
Saffron Hub 270,Bairagarh,Cafe,Yes,265,4.1,300
Fusion Dine 271,MP Nagar,Cafe,Yes,256,3.7,600
Tandoor Corner 272,Bairagarh,Buffet,No,52,3.6,950
Green Kitchen 273,TT Nagar,Casual Dining,Yes,227,3.5,850
Blue Cafe 274,TT Nagar,Casual Dining,No,221,3.7,600
Royal Treats 275,MP Nagar,Cafe,Yes,251,3.9,500
Green House 276,TT Nagar,Desserts,No,241,3.4,400
Tandoor Cafe 277,Bairagarh,Quick Bites,Yes,148,3.7,200
Tandoor Treats 278,Arera Colony,Cafe,Yes,310,3.5,450
Spice Treats 279,MP Nagar,Desserts,Yes,156,3.9,450
Blue Kitchen 280,Indrapuri,Desserts,Yes,40,4.1,450
Spice Hub 281,Kolar Road,Dining,No,357,4.3,350
Spice Corner 282,Indrapuri,Desserts,Yes,74,4.1,500
Tandoor Hub 283,Indrapuri,Desserts,No,136,3.7,500
Royal Dine 284,Arera Colony,Casual Dining,Yes,345,3.7,500
Green Kitchen 285,Arera Colony,Casual Dining,No,307,4.0,900
Saffron House 286,MP Nagar,Desserts,Yes,79,3.6,200
Saffron Kitchen 287,MP Nagar,Dining,Yes,131,3.9,750
Spice House 288,TT Nagar,Quick Bites,Yes,269,3.4,250
Royal Corner 289,MP Nagar,Dining,No,374,3.6,650
Blue Bistro 290,TT Nagar,Cafe,Yes,271,3.7,250
Royal Hub 291,Bairagarh,Quick Bites,Yes,221,4.1,300
Tandoor Hub 292,Indrapuri,Quick Bites,Yes,237,3.3,400
Green House 293,Kolar Road,Desserts,No,76,4.2,200
Saffron Hub 294,Bairagarh,Quick Bites,Yes,243,3.4,200
Urban Treats 295,Kolar Road,Buffet,Yes,235,4.2,650
Saffron Kitchen 296,Arera Colony,Buffet,Yes,244,3.9,1300
Green Treats 297,MP Nagar,Quick Bites,No,215,3.4,150
Green Cafe 298,TT Nagar,Cafe,No,305,4.4,550
Green Hub 299,MP Nagar,Quick Bites,Yes,189,3.5,400
Tandoor Corner 300,Kolar Road,Casual Dining,Yes,324,3.8,850
Green Dine 301,Kolar Road,Buffet,No,194,4.3,1350
Spice Corner 302,Bairagarh,Cafe,No,273,3.7,300
Green Hub 303,Bairagarh,Buffet,No,177,3.9,1300
Blue Treats 304,TT Nagar,Buffet,No,175,3.8,1350
Royal Bistro 305,TT Nagar,Buffet,No,97,4.3,1150
Spice Kitchen 306,Arera Colony,Casual Dining,No,94,4.1,750
Green Cafe 307,TT Nagar,Cafe,Yes,171,4.0,400
Fusion Treats 308,Arera Colony,Dining,Yes,362,3.7,300
Blue Corner 309,Arera Colony,Quick Bites,Yes,265,4.0,200
Urban Bistro 310,MP Nagar,Dining,Yes,349,3.5,650
Saffron Cafe 311,Kolar Road,Buffet,No,167,3.9,1300
Blue Cafe 312,TT Nagar,Cafe,No,76,3.5,400
Fusion Kitchen 313,TT Nagar,Desserts,Yes,83,3.4,350
Tandoor Cafe 314,Bairagarh,Casual Dining,No,187,3.5,950
Blue Kitchen 315,Arera Colony,Desserts,No,111,4.3,450
Spice Bistro 316,Kolar Road,Casual Dining,Yes,176,3.9,750
Blue Bistro 317,Bairagarh,Dining,Yes,279,3.9,850
Saffron Bistro 318,TT Nagar,Buffet,No,178,4.1,950
Urban Hub 319,MP Nagar,Dining,No,254,3.9,700
Spice Corner 320,Indrapuri,Buffet,No,141,3.9,1000
Royal Hub 321,Arera Colony,Desserts,No,115,4.2,200
Blue Bistro 322,Indrapuri,Dining,No,404,3.4,700
Tandoor Cafe 323,Arera Colony,Buffet,Yes,128,3.8,1400
Urban Bistro 324,Arera Colony,Buffet,Yes,164,3.9,1100
Urban Kitchen 325,Arera Colony,Desserts,Yes,63,4.0,300
Spice Corner 326,Indrapuri,Desserts,Yes,61,4.1,450
Royal Hub 327,MP Nagar,Cafe,Yes,214,3.7,250
Royal Hub 328,Kolar Road,Dining,No,327,4.1,650
Green Treats 329,Bairagarh,Buffet,No,167,3.4,900
Saffron Dine 330,Bairagarh,Dining,No,248,3.7,750
Royal Corner 331,Kolar Road,Casual Dining,No,172,3.8,550
Tandoor Corner 332,TT Nagar,Desserts,No,165,4.4,250
Saffron Corner 333,Indrapuri,Buffet,No,194,3.5,1150
Spice Treats 334,TT Nagar,Cafe,Yes,209,4.3,250
Fusion Bistro 335,TT Nagar,Desserts,Yes,104,4.0,350
Urban Treats 336,Bairagarh,Desserts,Yes,142,3.9,350
Spice Dine 337,TT Nagar,Quick Bites,No,88,3.2,250
Tandoor Bistro 338,TT Nagar,Casual Dining,No,358,4.4,750
Saffron Cafe 339,Arera Colony,Buffet,Yes,106,3.9,1150
Green Treats 340,Kolar Road,Quick Bites,Yes,122,3.5,150
Urban Corner 341,Indrapuri,Desserts,No,61,3.4,200
Blue Dine 342,Indrapuri,Buffet,No,183,3.8,1100
Fusion Treats 343,Kolar Road,Dining,Yes,102,4.1,400
Tandoor Cafe 344,TT Nagar,Dining,No,204,3.8,850
Tandoor Hub 345,Indrapuri,Cafe,Yes,267,4.1,300
Saffron Hub 346,Arera Colony,Casual Dining,No,171,3.8,800
Spice House 347,MP Nagar,Desserts,Yes,220,4.2,200
Urban Bistro 348,Kolar Road,Quick Bites,Yes,279,3.2,350
Tandoor Hub 349,Bairagarh,Quick Bites,Yes,103,3.5,350
Royal Corner 350,Bairagarh,Quick Bites,Yes,113,3.4,250
Urban Bistro 351,Kolar Road,Buffet,No,180,3.7,1200
Saffron Hub 352,MP Nagar,Cafe,Yes,148,4.0,450
Royal Bistro 353,Kolar Road,Buffet,No,208,3.4,950
Fusion Bistro 354,MP Nagar,Dining,No,367,3.8,800
Fusion Hub 355,TT Nagar,Desserts,No,165,3.5,450
Green Corner 356,Arera Colony,Dining,Yes,355,3.5,750
Fusion Cafe 357,Bairagarh,Quick Bites,Yes,232,3.7,150
Fusion House 358,Indrapuri,Casual Dining,Yes,196,3.6,400
Blue Dine 359,Arera Colony,Desserts,Yes,70,4.2,250
Tandoor Hub 360,MP Nagar,Cafe,Yes,165,4.3,250
Tandoor Corner 361,Bairagarh,Quick Bites,Yes,210,4.2,250
Blue Cafe 362,MP Nagar,Buffet,No,251,3.8,650
Royal Bistro 363,MP Nagar,Buffet,Yes,132,4.2,1400
Saffron Treats 364,MP Nagar,Casual Dining,No,207,4.0,750
Urban Cafe 365,Indrapuri,Desserts,Yes,111,4.1,350
Fusion Dine 366,Bairagarh,Desserts,Yes,238,4.2,200
Fusion Dine 367,Arera Colony,Casual Dining,No,273,3.5,800
Fusion Corner 368,Kolar Road,Cafe,No,232,4.0,250
Fusion Dine 369,TT Nagar,Quick Bites,No,68,3.2,350
Urban Bistro 370,Indrapuri,Dining,No,299,3.4,450
Blue Bistro 371,Kolar Road,Casual Dining,Yes,254,3.6,750
Royal Kitchen 372,Indrapuri,Casual Dining,No,189,3.8,450
Urban Kitchen 373,MP Nagar,Casual Dining,No,137,4.0,900
Fusion Kitchen 374,Arera Colony,Casual Dining,No,131,4.4,800
Royal Treats 375,Arera Colony,Casual Dining,Yes,115,4.1,450
Tandoor Dine 376,Kolar Road,Dining,Yes,148,3.9,450
Spice Bistro 377,Indrapuri,Dining,No,189,3.9,450
Fusion House 378,Arera Colony,Desserts,No,75,4.1,450
Saffron Dine 379,Indrapuri,Casual Dining,Yes,141,3.6,450
Blue Kitchen 380,TT Nagar,Cafe,No,165,4.0,450
Saffron Corner 381,TT Nagar,Cafe,Yes,182,3.9,250
Fusion Cafe 382,Bairagarh,Cafe,No,66,4.5,350
Saffron Hub 383,Kolar Road,Cafe,Yes,148,4.2,600
Spice Cafe 384,Arera Colony,Dining,Yes,100,4.2,700
Blue Hub 385,Indrapuri,Quick Bites,No,87,3.8,400
Royal Corner 386,Arera Colony,Quick Bites,Yes,149,4.2,200
Tandoor Hub 387,Bairagarh,Quick Bites,Yes,78,3.4,350
Green Kitchen 388,MP Nagar,Casual Dining,Yes,292,3.4,1000
Spice Corner 389,TT Nagar,Quick Bites,No,134,3.2,200
Spice Bistro 390,Indrapuri,Casual Dining,No,337,3.9,600
Tandoor Bistro 391,TT Nagar,Cafe,No,197,4.2,250
Tandoor Hub 392,Kolar Road,Dining,No,214,4.0,900
Urban Treats 393,Indrapuri,Casual Dining,No,98,3.8,950
Tandoor Bistro 394,Kolar Road,Cafe,No,119,3.7,450
Spice Kitchen 395,MP Nagar,Dining,Yes,266,3.6,450
Spice Hub 396,MP Nagar,Cafe,Yes,273,4.4,350
Urban Dine 397,Arera Colony,Buffet,No,280,3.4,850
Spice Hub 398,Arera Colony,Quick Bites,No,189,4.0,300
Urban Treats 399,Arera Colony,Buffet,No,124,3.9,900
Green Treats 400,Kolar Road,Casual Dining,No,322,4.4,550
Green Bistro 401,Arera Colony,Casual Dining,No,82,3.6,700
Spice Dine 402,Arera Colony,Casual Dining,No,262,4.2,650
Green House 403,Indrapuri,Dining,No,110,4.3,450
Blue Cafe 404,Arera Colony,Casual Dining,No,336,3.8,750
Urban Cafe 405,Bairagarh,Desserts,Yes,249,3.7,450
Spice Hub 406,TT Nagar,Quick Bites,No,166,3.4,300
Tandoor Dine 407,Indrapuri,Desserts,Yes,59,4.3,200
Urban Bistro 408,Arera Colony,Quick Bites,Yes,283,3.4,200
Tandoor House 409,Indrapuri,Quick Bites,Yes,180,4.0,150
Blue Kitchen 410,MP Nagar,Cafe,No,227,3.6,550
Tandoor Hub 411,Bairagarh,Cafe,Yes,213,3.7,300
Saffron Treats 412,Bairagarh,Dining,No,207,3.3,400
Urban Kitchen 413,Arera Colony,Cafe,No,173,3.5,400
Urban Corner 414,Arera Colony,Buffet,Yes,66,3.5,1250
Royal Cafe 415,Kolar Road,Desserts,Yes,158,3.4,450
Saffron Treats 416,Arera Colony,Desserts,Yes,149,3.5,250
Blue Corner 417,Indrapuri,Cafe,No,77,4.1,500
